"","df_m.full_address","df.town","query","lat","lon","lat_min","lat_max","lon_min","lon_max"
"7527","468C, ADMIRALTY DRIVE, SEMBAWANG, SINGAPORE","SEMBAWANG","468C, ADMIRALTY DRIVE, SEMBAWANG, SINGAPORE",1.4519397,103.8202352,1.4519397,1.4519949,103.8202352,103.8203346
"7528","301B, ANCHORVALE DRIVE, SENGKANG, SINGAPORE","SENGKANG","301B, ANCHORVALE DRIVE, SENGKANG, SINGAPORE",1.3893534,103.891484478846,1.3891397,1.3895606,103.891034,103.8915803
"7529","322A, ANCHORVALE DRIVE, SENGKANG, SINGAPORE","SENGKANG","322A, ANCHORVALE DRIVE, SENGKANG, SINGAPORE",1.3895002,103.8921883,1.3894794,1.3895702,103.8919711,103.8922529
"7530","305A, ANCHORVALE LINK, SENGKANG, SINGAPORE","SENGKANG","305A, ANCHORVALE LINK, SENGKANG, SINGAPORE",1.3885516,103.887990678155,1.3883058,1.3887953,103.8879082,103.8884687
"7531","305C, ANCHORVALE LINK, SENGKANG, SINGAPORE","SENGKANG","305C, ANCHORVALE LINK, SENGKANG, SINGAPORE",1.3890089,103.888109544244,1.3888487,1.3891865,103.8877645,103.8883062
"7532","306C, ANCHORVALE LINK, SENGKANG, SINGAPORE","SENGKANG","306C, ANCHORVALE LINK, SENGKANG, SINGAPORE",1.39007445,103.8878784251,1.3897885,1.3903655,103.8877882,103.8884782
"7533","290C, COMPASSVALE CRESCENT, SENGKANG, SINGAPORE","SENGKANG","290C, COMPASSVALE CRESCENT, SENGKANG, SINGAPORE",1.397024,103.8967146,1.3968483,1.3972377,103.8966389,103.8969228
"7534","296B, COMPASSVALE CRESCENT, SENGKANG, SINGAPORE","SENGKANG","296B, COMPASSVALE CRESCENT, SENGKANG, SINGAPORE",1.397024,103.8967146,1.3968483,1.3972377,103.8966389,103.8969228
"7535","253, COMPASSVALE STREET, SENGKANG, SINGAPORE","SENGKANG","253, COMPASSVALE STREET, SENGKANG, SINGAPORE",1.3943457,103.901093,1.3943457,1.3944454,103.900797,103.901093
"7536","299A, COMPASSVALE STREET, SENGKANG, SINGAPORE","SENGKANG","299A, COMPASSVALE STREET, SENGKANG, SINGAPORE",1.3943457,103.901093,1.3943457,1.3944454,103.900797,103.901093
